PDB_ID,Download_status
5svd,OK
4www,failed_download
4u3j,OK
1csw,OK
3rs0,OK
4jsp,OK
3oxk,OK
4la4,OK
2w6i,OK
1wlj,OK
1q7s,OK
3sgz,OK
1xlp,OK
4chh,OK
2x7k,OK
3r8w,OK
5jmv,OK
5x9a,OK
2iyp,OK
4u58,OK
6oez,OK
6guf,OK
6hk1,OK
4wpn,OK
3zju,OK
1mez,OK
1tug,OK
5cgq,OK
5w4k,failed_download
4qz4,OK
4k5b,OK
1w2w,OK
1xcm,OK
1eif,OK
1r3q,OK
2z29,OK
2wsr,OK
1gzd,OK
6j64,OK
3fz9,OK
1p9q,OK
3lc1,OK
4mx2,OK
4okn,OK
3fyc,OK
1rrj,OK
5syt,OK
4yom,OK
3rt1,OK
2xo4,OK
3lbh,OK
3r6x,OK
5y4q,OK
4b2p,OK
1zmf,OK
1i50,OK
5dg8,OK
4tpw,OK
6fci,OK
3pz1,OK
6apr,OK
3q9n,OK
5kr4,OK
5i98,OK
1oxo,OK
1xty,OK
3bc1,OK
4j75,OK
5xbs,OK
5dox,failed_download
4qt2,OK
4v5o,failed_download
4o8x,OK
3d7s,OK
6s9x,OK
6a0v,OK
3ig5,OK
1ye6,OK
4ayx,counts
1s26,OK
3q8y,OK
4d6u,OK
2oxq,OK
4bck,OK
3zip,OK
1o1r,OK
3fp2,OK
4j1e,OK
5fv7,counts
2fuc,OK
2cep,OK
5lxt,OK
5vhb,OK
4bxz,OK
3py0,OK
3r1j,OK
2wt4,OK
5exq,OK
2pgd,OK
1sve,OK
5km5,OK
6n3i,OK
3sqc,OK
2duv,OK
1vok,OK
4v49,failed_download
5hw6,OK
4dv4,OK
1wpl,OK
1ulh,OK
2qn7,OK
1mms,OK
5vzj,OK
2yhx,distance
4ku4,OK
1gyn,OK
2q5o,OK
3gok,OK
4ja8,OK
4cfe,OK
5mp7,OK
6q1v,OK
2dq3,OK
5ze4,OK
3hxi,OK
4din,counts
1mc1,OK
6cpa,OK
5xy9,counts
1djo,OK
4fux,OK
4fv3,OK
5acb,counts
4i1q,OK
1rv8,OK
5kng,OK
4dlj,OK
1fgh,OK
6b67,OK
3leh,OK
4ct7,OK
4ae9,OK
5mi1,OK
4uyb,OK
4ffa,OK
1bcc,OK
5ni2,OK
5n1k,counts
5jn5,OK
2pmz,OK
4jex,OK
3i4b,OK
5umo,OK
1d8i,OK
3oab,OK
1dcu,OK
6emf,OK
2acz,OK
5fi5,OK
5tbk,OK
1ja8,OK
4w9h,OK
6c5l,failed_download
4l03,OK
3l0p,counts
4itz,OK
5zdk,OK
1vby,OK
5ork,OK
2chv,OK
3ccu,OK
1els,OK
1bzl,OK
2ozl,OK
4w8d,OK
1ig3,OK
2w0h,OK
3hay,OK
4xgh,counts
6cfm,counts
4rh3,OK
3ey4,OK
5otg,counts
6gzm,OK
3lj9,OK
2vka,OK
3b6m,OK
4gnj,OK
1avm,OK
6e8z,OK
4kbe,OK
1qi1,OK
1iwo,OK
1ff9,OK
5v5p,OK
1eud,OK
4h6k,OK
4j84,OK
5z09,OK
3juh,OK
4yxd,OK
2g99,OK
5ev0,OK
3gee,OK
2jdr,OK
2wul,OK
4erk,OK
2w21,OK
3st6,OK
5bmv,OK
3e0v,OK
6ges,OK
4peh,OK
2ojf,OK
6htc,OK
2wbb,OK
3do6,OK
1m5p,OK
5kg2,OK
5dn9,OK
4aj3,OK
4d4i,OK
4x5k,OK
1wut,OK
3q75,OK
1kc8,OK
6aiy,OK
1gii,OK
1z8a,OK
3qe9,OK
5q00,OK
5n81,OK
5nii,OK
5nos,OK
5k1r,OK
5n9l,OK
1ian,counts
5fg9,OK
4tnm,OK
3py1,OK
1e2e,OK
2x07,counts
2c4n,OK
4xou,OK
2i4q,OK
1c21,counts
5nzq,OK
1ft1,OK
3v4y,OK
4ds3,OK
6djg,OK
4e44,counts
5m5a,OK
